Date,Division,Event,City,State,WON Match Rating,Winner,Cash-in Result,Targeted Title,Targeted Champion,Days With MITB
4/3/2005,M,WrestleMania 21,Los Angeles,CA,4.50,Edge,Success,WWE Championship,John Cena,280
4/2/2006,M,WrestleMania 22,Chicago,IL,4.00,Rob Van Dam,Success,WWE Championship,John Cena,70
4/1/2007,M,WrestleMania 23,Detroit,MI,4.25,Mr. Kennedy,Failed,None,None,36
5/7/2007,M,Raw,University Park,PA,0.00,Edge,Success,World Heavyweight Championship,The Undertaker,4
3/30/2008,M,WrestleMania XXIV,Orlando,FL,3.25,CM Punk,Success,World Heavyweight Championship,Edge,92
4/5/2009,M,WrestleMania XXV,Houston,TX,3.75,CM Punk,Success,World Heavyweight Championship,Jeff Hardy,63
3/28/2010,M,WrestleMania XXVI,Glendale,AZ,3.75,Jack Swagger,Success,World Heavyweight Championship,Chris Jericho,5
7/18/2010,M,MITB 2010,Kansas City,MO,4.00,Kane,Success,World Heavyweight Championship,Rey Mysterio,0
7/18/2010,M,MITB 2010,Kansas City,MO,4.00,The Miz,Success,WWE Championship,Randy Orton,127
7/17/2011,M,MITB 2011,Rosemont,IL,4.00,Daniel Bryan,Success,World Heavyweight Championship,Big Show,154
7/17/2011,M,MITB 2011,Rosemont,IL,3.75,Alberto Del Rio,Success,WWE Championship,CM Punk,28
7/15/2012,M,MITB 2012,Phoenix,AZ,4.00,Dolph Ziggler,Success,World Heavyweight Championship,Alberto Del Rio,267
7/15/2012,M,MITB 2012,Phoenix,AZ,3.75,John Cena,Failed,WWE Championship,CM Punk,8
7/14/2013,M,MITB 2013,Philadelphia,PA,3.75,Damien Sandow,Failed,World Heavyweight Championship,John Cena,106
7/14/2013,M,MITB 2013,Philadelphia,PA,4.50,Randy Orton,Success,WWE Championship,Daniel Bryan,35
6/29/2014,M,MITB 2014,Boston,MA,4.50,Seth Rollins,Success,WWE Championship,Brock Lesnar,273
6/14/2015,M,MITB 2015,Columbus,OH,3.50,Sheamus,Success,WWE Championship,Roman Reigns,161
6/19/2016,M,MITB 2016,Las Vegas,NV,4.25,Dean Ambrose,Success,WWE Championship,Seth Rollins,0
6/18/2017,M,MITB 2017,St. Louis,MO,4.50,Baron Corbin,Failed,WWE Championship,Jinder Mahal,57
6/18/2017,W,MITB 2017,St. Louis,MO,3.00,Carmella,Success,SmackDown Women's Championship,Charlotte Flair,287
6/17/2018,M,MITB 2018,Rosemont,IL,4.25,Braun  Strowman,Failed,WWE Universal Championship,Roman Reigns,91
6/17/2018,W,MITB 2018,Rosemont,IL,4.00,Alexa Bliss,Success,Raw Women's Championship,Nia Jax,0